time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-01-28T20:37:20.656Z,33.8212,45.7296,10,4.9,mb,,53,2.201,0.61,us,us60007ig7,2020-01-28T23:16:35.040Z,"18km ENE of Mandali, Iraq",earthquake,6.9,1.9,0.057,98,reviewed,us,us
2020-01-28T20:34:26.980Z,35.5865,-117.5105,11.35,0.57,ml,10,102,0.03937,0.18,ci,ci39285272,2020-01-28T21:59:03.755Z,"15km ESE of Ridgecrest, CA",earthquake,0.49,0.85,0.066,5,reviewed,ci,ci
2020-01-28T20:29:37.415Z,7.297,92.0581,10,5,mb,,98,4.383,1.42,us,us60007ifv,2020-01-28T21:24:03.040Z,"157km WSW of Mohean, India",earthquake,9.3,1.9,0.073,61,reviewed,us,us
2020-01-28T20:29:02.961Z,19.0371,-80.1479,10,4.1,mb,,105,2.606,1.28,us,us60007ih1,2020-01-28T23:06:11.005Z,"105km ESE of East End, Cayman Islands",earthquake,2.8,2,0.213,6,reviewed,us,us
2020-01-28T20:15:08.141Z,41.4606,19.5304,10,5.1,mb,,21,0.989,1.37,us,us60007ifh,2020-01-28T23:21:44.410Z,"12km NW of Vore, Albania",earthquake,1.3,1.8,0.039,215,reviewed,us,us
2020-01-28T20:10:26.544Z,39.0432,27.8752,10,4.4,mb,,52,0.596,0.95,us,us60007if5,2020-01-28T22:53:10.040Z,"14km NNE of Akhisar, Turkey",earthquake,5.4,2,0.239,6,reviewed,us,us
2020-01-28T20:08:16.053Z,59.7375,-153.1012,101.6,2.3,ml,,,,0.69,ak,ak0201an04vj,2020-01-28T20:11:04.114Z,"71km W of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-01-28T19:51:00.100Z,33.4881667,-116.7915,5.89,2.09,ml,53,37,0.02525,0.18,ci,ci39285256,2020-01-28T20:01:45.970Z,"8km NE of Aguanga, CA",earthquake,0.17,0.57,0.15,28,automatic,ci,ci
2020-01-28T19:47:31.082Z,61.688,-151.3232,77,2.5,ml,,,,0.42,ak,ak0201amn3cu,2020-01-28T22:11:25.040Z,"68km W of Willow, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2020-01-28T19:47:17.970Z,38.8341675,-122.7928314,1.93,1.47,md,28,34,0.00466,0.02,nc,nc73332976,2020-01-28T21:15:04.178Z,"6km WNW of Cobb, CA",earthquake,0.19,0.35,0.18,6,automatic,nc,nc
2020-01-28T19:41:34.381Z,18.9848,-80.654,10,3.9,ml,,74,3.053,0.61,us,us60007igs,2020-01-28T21:58:14.040Z,"59km SE of East End, Cayman Islands",earthquake,6.9,2,0.162,5,reviewed,us,us
2020-01-28T19:32:56.033Z,18.8578,-80.6191,9.37,4.5,ml,,75,2.993,1.25,us,us60007ign,2020-01-28T21:36:30.990Z,"71km SE of East End, Cayman Islands",earthquake,4.8,7,0.148,6,reviewed,us,us
2020-01-28T19:15:20.730Z,34.1218333,-117.4786667,6,1.67,ml,75,39,0.03987,0.17,ci,ci39285240,2020-01-28T21:24:03.240Z,"3km NW of Fontana, CA",earthquake,0.13,0.39,0.112,49,reviewed,ci,ci
2020-01-28T19:10:25.000Z,19.44,-78.7545,10,7.7,mww,,32,1.671,1.31,us,us60007idc,2020-01-28T23:22:34.984Z,"125km NNW of Lucea, Jamaica",earthquake,7,1.8,0.052,35,reviewed,us,us
2020-01-28T19:07:24.680Z,46.0326667,-111.4016667,4.55,1.23,ml,11,104,0.178,0.06,mb,mb80379544,2020-01-28T20:27:53.090Z,"19km NE of Three Forks, Montana",earthquake,0.28,6.17,0.125,4,reviewed,mb,mb
2020-01-28T19:04:12.860Z,19.2345009,-155.4069977,31.74,1.77,md,33,184,0.009458,0.13,hv,hv71356107,2020-01-28T19:07:41.920Z,"8km ENE of Pahala, Hawaii",earthquake,0.59,0.71,0.08,4,automatic,hv,hv
2020-01-28T18:51:17.860Z,34.1243333,-117.4773333,5.87,1.93,ml,61,30,0.04043,0.18,ci,ci39285208,2020-01-28T19:58:15.650Z,"3km NNW of Fontana, CA",earthquake,0.21,0.7,0.128,25,reviewed,ci,ci
2020-01-28T18:47:35.820Z,35.6043333,-117.59,4.21,1.38,ml,21,86,0.1057,0.15,ci,ci39285192,2020-01-28T19:59:24.750Z,"8km ESE of Ridgecrest, CA",earthquake,0.22,0.81,0.196,20,reviewed,ci,ci
2020-01-28T18:43:22.430Z,38.8396683,-122.7470016,0.84,1.08,md,12,123,0.02011,0.03,nc,nc73332966,2020-01-28T18:53:02.344Z,"3km NW of Cobb, CA",earthquake,0.27,0.66,0.1,2,automatic,nc,nc
2020-01-28T18:39:16.650Z,46.2988333,-111.6065,-2,1.44,ml,9,152,0.314,0.11,mb,mb80379539,2020-01-28T20:23:07.410Z,"6km WSW of Townsend, Montana",quarry blast,1.08,31.61,0.255,2,reviewed,mb,mb
2020-01-28T18:38:08.792Z,38.2184,-118.3927,8,0.2,ml,4,249.61,0.094,0.0601,nn,nn00716102,2020-01-28T21:25:08.470Z,"39km SSE of Hawthorne, Nevada",earthquake,,22.5,0,1,reviewed,nn,nn
2020-01-28T18:32:37.099Z,39.336,-119.965,11.4,1.1,ml,13,86.59,0.07,0.1665,nn,nn00716101,2020-01-28T21:22:02.331Z,"9km N of Incline Village, Nevada",earthquake,,1.5,0.13,4,reviewed,nn,nn
2020-01-28T18:22:14.660Z,38.7963333,-122.7460022,1.49,0.57,md,9,157,0.01154,0.02,nc,nc73332956,2020-01-28T18:38:02.264Z,"2km NNE of The Geysers, CA",earthquake,0.5,0.88,,1,automatic,nc,nc
2020-01-28T18:16:44.280Z,-30.2659,-72.3445,10,5.5,mww,,90,0.735,0.93,us,us60007ibj,2020-01-28T20:33:58.978Z,"102km WSW of Coquimbo, Chile",earthquake,4.5,1.9,0.055,32,reviewed,us,us
2020-01-28T18:14:29.000Z,34.0121667,-117.0158333,18.49,0.71,ml,24,157,0.0727,0.12,ci,ci39285152,2020-01-28T19:37:16.537Z,"4km SE of Yucaipa, CA",earthquake,0.27,0.43,0.083,8,reviewed,ci,ci
2020-01-28T18:11:27.980Z,37.8655,-113.1701667,10.44,0.98,md,9,137,0.2275,0.22,uu,uu60358102,2020-01-28T21:04:43.680Z,"16km NW of Enoch, Utah",earthquake,0.74,4.78,0.191,6,reviewed,uu,uu
2020-01-28T17:52:25.750Z,35.8598333,-117.6618333,5.56,1.1,ml,16,95,0.06832,0.13,ci,ci39285128,2020-01-28T17:56:11.456Z,"24km ESE of Little Lake, CA",earthquake,0.28,0.87,0.211,16,automatic,ci,ci
2020-01-28T17:43:39.250Z,38.8231659,-122.8421631,2.05,0.57,md,12,78,0.005572,0.01,nc,nc73332941,2020-01-28T18:18:03.144Z,"9km NW of The Geysers, CA",earthquake,0.29,0.69,,1,automatic,nc,nc
2020-01-28T17:34:50.180Z,36.9015007,-121.2614975,0.57,3.08,ml,5,173,0.2462,0.03,nc,nc73332931,2020-01-28T23:08:15.814Z,"13km NNE of Tres Pinos, CA",earthquake,0.94,7.18,0.409,5,automatic,nc,nc
2020-01-28T17:23:53.352Z,39.0398,-119.7299,10.3,0.3,ml,3,196.74,0.113,0.0466,nn,nn00716099,2020-01-28T20:48:04.124Z,"1km SW of Johnson Lane, Nevada",earthquake,,9.6,0,1,reviewed,nn,nn
2020-01-28T17:19:41.600Z,38.8288345,-122.8048325,1.54,0.88,md,10,80,0.01481,0.01,nc,nc73332926,2020-01-28T17:49:02.316Z,"7km NW of The Geysers, CA",earthquake,0.33,1.49,,1,automatic,nc,nc
2020-01-28T17:16:24.315Z,62.2165,-149.75,14.8,1.5,ml,,,,0.49,ak,ak0201al9kfz,2020-01-28T17:19:43.967Z,"8km NE of Y, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-01-28T17:08:36.740Z,35.10633333,-97.78683333,7.48,1.01,ml,13,98,0.082783755,0.24,ok,ok2020byqn,2020-01-28T17:53:43.341Z,"12km WSW of Blanchard, Oklahoma",earthquake,,1,0.18,3,reviewed,ok,ok
2020-01-28T17:02:08.280Z,33.2966667,-116.2811667,8.73,0.99,ml,26,138,0.06972,0.19,ci,ci39285088,2020-01-28T17:05:54.739Z,"10km ENE of Borrego Springs, CA",earthquake,0.38,0.79,0.165,25,automatic,ci,ci
2020-01-28T16:52:39.410Z,35.8276667,-117.6773333,2.06,0.61,ml,11,104,0.06596,0.22,ci,ci39285064,2020-01-28T16:56:19.673Z,"23km N of Ridgecrest, CA",earthquake,0.49,0.84,0.195,7,automatic,ci,ci
2020-01-28T16:49:56.160Z,47.2741666666667,-122.7235,27.34,1.48,ml,12,115,,0.17,uw,uw61569632,2020-01-28T19:09:27.560Z,"3km E of Home, Washington",earthquake,0.56,1.04,0.267555350062886,3,reviewed,uw,uw
2020-01-28T16:42:29.810Z,35.8556667,-117.6958333,3.9,0.56,ml,11,83,0.0732,0.15,ci,ci39285048,2020-01-28T16:46:15.705Z,"21km ESE of Little Lake, CA",earthquake,0.31,1.16,0.168,7,automatic,ci,ci
2020-01-28T16:41:43.480Z,51.1742,-179.8579,35,5.3,mww,,129,0.566,0.56,us,us60007i8r,2020-01-28T17:28:29.040Z,"53km W of Amatignak Island, Alaska",earthquake,9,2,0.075,17,reviewed,us,us
2020-01-28T16:37:31.200Z,19.3696671,-155.0390015,1.44,2.19,ml,48,173,0.04715,0.28,hv,hv71355932,2020-01-28T16:43:06.360Z,"16km SW of Leilani Estates, Hawaii",earthquake,0.67,0.48,0.32,10,automatic,hv,hv
2020-01-28T16:33:25.870Z,44.634,-110.3588333,4.64,1.59,ml,14,68,0.07481,0.18,uu,uu60358092,2020-01-28T17:51:08.800Z,"42km ENE of Old Faithful Geyser, Wyoming",earthquake,0.33,0.74,0.293,3,reviewed,uu,uu
2020-01-28T16:32:35.200Z,17.8681,-66.8305,13,3.13,md,12,229,0.1176,0.12,pr,pr2020028009,2020-01-28T19:23:57.141Z,"7km SSW of Indios, Puerto Rico",earthquake,0.88,0.55,0.08,6,reviewed,pr,pr
2020-01-28T16:23:47.120Z,38.9715,-111.3986667,-0.3,1.04,ml,7,114,0.04043,0.06,uu,uu60358087,2020-01-28T17:31:37.310Z,"26km WSW of Ferron, Utah",earthquake,0.74,0.34,0.211,2,reviewed,uu,uu
2020-01-28T16:18:33.030Z,34.84016667,-96.79166667,5,1.79,ml,36,113,0.1691668037,0.17,ok,ok2020byow,2020-01-28T17:10:36.069Z,"11km WSW of Byng, Oklahoma",earthquake,,0.7,0.07,4,reviewed,ok,ok
2020-01-28T16:12:41.646Z,35.2447,27.82,10,4.5,mb,,60,0.617,0.79,us,us60007i7x,2020-01-28T16:39:14.040Z,"62km ESE of Karpathos, Greece",earthquake,5.2,1.9,0.102,32,reviewed,us,us
2020-01-28T16:10:18.560Z,33.3556667,-116.3206667,11.02,0.7,ml,18,139,0.01142,0.15,ci,ci39285008,2020-01-28T17:26:18.711Z,"12km NNE of Borrego Springs, CA",earthquake,0.35,0.49,0.163,12,reviewed,ci,ci
2020-01-28T16:09:12.911Z,35.2719,27.9393,10,4.3,mb,,90,0.692,1.05,us,us60007i7v,2020-01-28T17:18:57.040Z,"70km ESE of Karpathos, Greece",earthquake,6.9,1.9,0.216,7,reviewed,us,us
2020-01-28T16:03:02.690Z,19.1843338,-155.4186707,33.55,1.71,md,39,172,0.05014,0.12,hv,hv71355887,2020-01-28T16:06:23.700Z,"6km ESE of Pahala, Hawaii",earthquake,0.72,0.88,0.12,5,automatic,hv,hv
2020-01-28T16:02:44.490Z,38.5438347,-122.7678299,5.29,1.99,md,21,111,0.1264,0.06,nc,nc73332916,2020-01-28T16:44:02.814Z,"4km NNW of Larkfield-Wikiup, CA",earthquake,0.23,1.35,0.11,14,automatic,nc,nc
2020-01-28T15:46:01.569Z,64.4356,-149.7927,20,2.4,ml,,,,0.78,ak,ak0201ak92z8,2020-01-28T16:03:40.321Z,"36km WSW of North Nenana, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-01-28T15:44:50.330Z,33.7878333,-116.1161667,3.37,1.52,ml,45,63,0.08819,0.19,ci,ci39284992,2020-01-28T15:55:53.940Z,"12km NE of Indio, CA",earthquake,0.29,0.56,0.144,27,automatic,ci,ci
2020-01-28T15:38:34.371Z,35.2104,27.8962,10,5.4,mww,,43,0.688,0.75,us,us60007i7j,2020-01-28T21:08:24.731Z,"70km ESE of Karpathos, Greece",earthquake,5.2,1.8,0.065,23,reviewed,us,us
2020-01-28T15:37:19.930Z,33.4858333,-116.7916667,4.75,1.74,ml,70,20,0.02744,0.21,ci,ci39284984,2020-01-28T17:27:44.730Z,"8km NE of Aguanga, CA",earthquake,0.18,0.95,0.111,26,reviewed,ci,ci
2020-01-28T15:24:34.747Z,29.5932,52.1363,10,5,mb,,45,5.876,0.47,us,us60007i7g,2020-01-28T21:41:51.292Z,"39km W of Shiraz, Iran",earthquake,4.7,1.9,0.049,133,reviewed,us,us
2020-01-28T15:12:25.070Z,46.8113333333333,-121.932333333333,8.63,0.37,ml,10,215,,0.13,uw,uw61569617,2020-01-28T19:25:36.510Z,"26km ESE of Eatonville, Washington",earthquake,0.47,0.64,0.111038042441864,4,reviewed,uw,uw
2020-01-28T15:12:22.270Z,17.9458,-66.8368,13,3.4,ml,12,209,0.0515,0.1,pr,pr2020028008,2020-01-28T19:52:01.511Z,"2km SW of Indios, Puerto Rico",earthquake,0.82,0.3,0.19,6,reviewed,pr,pr
2020-01-28T15:08:44.806Z,60.3454,-141.252,7.9,1.9,ml,,,,0.36,ak,ak0201ak1134,2020-01-28T15:12:06.464Z,"72km ENE of Cape Yakataga, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-01-28T15:04:56.005Z,37.2876,-115.9839,6.8,1.1,ml,28,126.24,0.103,0.1431,nn,nn00716078,2020-01-28T18:57:24.059Z,"73km W of Alamo, Nevada",earthquake,,1.2,0.3,15,reviewed,nn,nn
2020-01-28T14:58:16.920Z,19.1895008,-155.4718323,35.73,1.92,ml,58,91,0.03513,0.13,hv,hv71355832,2020-01-28T15:03:52.790Z,"1km SSE of Pahala, Hawaii",earthquake,0.44,0.67,4.92,5,automatic,hv,hv
2020-01-28T14:55:27.610Z,37.6458321,-118.927002,2.89,1.08,md,15,88,0.01912,0.05,nc,nc73332901,2020-01-28T15:30:03.037Z,"5km ENE of Mammoth Lakes, CA",earthquake,0.46,0.7,0.24,14,automatic,nc,nc
2020-01-28T14:53:51.794Z,39.0658,27.7911,10,4.1,mb,,73,0.829,0.69,us,us60007i71,2020-01-28T16:13:16.040Z,"11km ESE of Kirkagac, Turkey",earthquake,4.2,1.9,0.302,3,reviewed,us,us
2020-01-28T14:52:43.416Z,60.2164,-153.8033,185.4,3.6,ml,,,,0.74,ak,ak0201ajp0wy,2020-01-28T18:13:00.103Z,"50km WSW of Redoubt Volcano, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-01-28T14:47:40.420Z,65.8602,-147.9705,36.1,1.5,ml,,,,1.02,ak,ak0201ajny2i,2020-01-28T14:56:09.460Z,"112km N of College, Alaska",earthquake,,16.3,,,automatic,ak,ak
2020-01-28T14:22:51.170Z,35.9073333,-117.7343333,6.76,2.52,ml,27,53,0.07926,0.16,ci,ci39284936,2020-01-28T14:33:32.160Z,"16km ESE of Little Lake, CA",earthquake,0.23,0.53,0.226,25,automatic,ci,ci
2020-01-28T14:10:49.540Z,18.0025,-66.8063,15,3.15,md,12,169,0.0779,0.22,pr,pr2020028007,2020-01-28T15:36:40.919Z,"0km SW of Guayanilla, Puerto Rico",earthquake,0.8,1.16,0.4,6,reviewed,pr,pr
2020-01-28T14:02:44.060Z,33.8508333,-117.8293333,9.54,2,ml,76,24,0.02383,0.18,ci,ci39284920,2020-01-28T19:53:10.930Z,"4km NNW of Villa Park, CA",earthquake,0.15,0.29,0.129,67,reviewed,ci,ci
2020-01-28T14:01:58.900Z,33.5905,-116.7185,10.74,0.07,ml,13,71,0.02955,0.15,ci,ci39284912,2020-01-28T14:05:48.865Z,"6km NW of Anza, CA",earthquake,0.45,0.69,0.146,5,automatic,ci,ci
2020-01-28T13:57:24.902Z,61.572,-146.4837,29.6,2,ml,,,,0.85,ak,ak0201aj4meo,2020-01-28T13:59:51.006Z,"49km N of Valdez, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-01-28T13:52:27.446Z,60.1475,-151.5574,37,1.4,ml,,,,0.33,ak,ak0201aj3jzr,2020-01-28T13:56:09.593Z,"28km SSW of Cohoe, Alaska",earthquake,,7.4,,,automatic,ak,ak
2020-01-28T13:43:51.780Z,19.4838333,-155.5746613,-2.27,1.81,ml,14,68,0.0182,0.22,hv,hv71355727,2020-01-28T13:49:26.290Z,"30km E of Honaunau-Napoopoo, Hawaii",earthquake,0.59,0.85,4.11,3,automatic,hv,hv
2020-01-28T13:36:39.500Z,19.1906662,-155.4700012,36.59,1.82,md,41,99,0.03585,0.16,hv,hv71355717,2020-01-28T13:39:56.420Z,"1km SSE of Pahala, Hawaii",earthquake,0.57,0.83,0.22,5,automatic,hv,hv
2020-01-28T13:35:56.508Z,-8.5834,-108.9508,10,4.8,mb,,158,18.448,0.73,us,us60007i66,2020-01-28T15:14:40.040Z,"Central East Pacific Rise",earthquake,18,2,0.059,89,reviewed,us,us
2020-01-28T13:32:18.030Z,33.586,-116.7238333,10.34,1.54,ml,56,30,0.02342,0.15,ci,ci39284904,2020-01-28T13:43:19.520Z,"6km NW of Anza, CA",earthquake,0.16,0.29,0.109,25,automatic,ci,ci
2020-01-28T13:29:06.396Z,37.0126,-117.3952,9.7,0.7,ml,7,177.35,0.029,0.1696,nn,nn00716092,2020-01-28T19:25:06.572Z,"57km WNW of Beatty, Nevada",earthquake,,1.7,0.52,6,reviewed,nn,nn
2020-01-28T13:12:09.195Z,-8.9203,-108.649,10,4.7,mb,,113,20.035,0.62,us,us60007i5k,2020-01-28T14:19:09.040Z,"Central East Pacific Rise",earthquake,14.4,1.9,0.055,100,reviewed,us,us
2020-01-28T13:09:10.050Z,38.3461685,-121.9093323,14.26,1.96,md,8,93,0.06101,0.28,nc,nc73332876,2020-01-28T13:58:03.771Z,"0km SSW of Elmira, CA",earthquake,1.48,2.89,0.1,9,automatic,nc,nc
2020-01-28T13:08:03.440Z,19.3773327,-155.0345001,3.63,1.75,md,47,171,0.04573,0.27,hv,hv71355702,2020-01-28T13:11:36.050Z,"15km SW of Leilani Estates, Hawaii",earthquake,0.67,1.01,0.14,26,automatic,hv,hv
2020-01-28T13:02:19.000Z,38.8393326,-122.838501,1.53,0.57,md,14,114,0.002468,0.02,nc,nc73332871,2020-01-28T13:32:02.728Z,"10km NW of The Geysers, CA",earthquake,0.24,0.45,0.02,3,automatic,nc,nc
2020-01-28T12:54:54.527Z,37.4894,-117.9867,9.6,1.2,ml,8,116.15,0.122,0.1647,nn,nn00716074,2020-01-28T18:38:40.837Z,"38km ENE of Bishop, California",earthquake,,3.3,0.43,6,reviewed,nn,nn
2020-01-28T12:39:51.150Z,33.5945,-116.8,6.15,0.13,ml,13,121,0.02998,0.05,ci,ci39284888,2020-01-28T15:17:37.830Z,"12km WNW of Anza, CA",earthquake,0.22,0.4,0.203,5,reviewed,ci,ci
2020-01-28T12:37:12.338Z,37.5926,-118.143,0,1.1,ml,5,211.06,0.262,0.0436,nn,nn00716089,2020-01-28T19:21:59.559Z,"33km NE of Bishop, California",earthquake,,0,0.38,4,reviewed,nn,nn
2020-01-28T12:35:57.880Z,17.8493,-66.868,12,3.32,md,12,237,0.1263,0.17,pr,pr2020028006,2020-01-28T13:51:39.254Z,"14km SSE of Guanica, Puerto Rico",earthquake,0.83,0.53,0.07,5,reviewed,pr,pr
2020-01-28T12:35:37.850Z,38.8359985,-122.7931671,1.68,0.56,md,7,114,0.003264,0.01,nc,nc73332866,2020-01-28T13:05:03.576Z,"6km WNW of Cobb, CA",earthquake,0.41,1.6,,1,automatic,nc,nc
2020-01-28T12:30:55.950Z,35.8715,-117.7118333,2.78,0.72,ml,13,87,0.07617,0.19,ci,ci39284880,2020-01-28T12:34:26.519Z,"19km ESE of Little Lake, CA",earthquake,0.42,0.61,0.082,10,automatic,ci,ci
2020-01-28T11:59:48.757Z,61.8905,-150.155,29.8,1.5,ml,,,,0.43,ak,ak0201ahy8hn,2020-01-28T12:02:58.229Z,"17km NNW of Willow, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-01-28T11:57:30.950Z,19.1660004,-155.4804993,32.34,2.15,ml,55,99,0.02032,0.12,hv,hv71355622,2020-01-28T12:03:07.550Z,"4km S of Pahala, Hawaii",earthquake,0.43,0.66,4,5,automatic,hv,hv
2020-01-28T11:49:19.010Z,46.0303333,-111.3955,7.01,0.8,ml,7,154,0.176,0.06,mb,mb80379534,2020-01-28T16:15:31.710Z,"19km NE of Three Forks, Montana",earthquake,0.55,4.39,0.325,2,reviewed,mb,mb
2020-01-28T11:47:51.350Z,33.4105,-116.3398333,12.45,1.04,ml,38,110,0.05426,0.21,ci,ci39284872,2020-01-28T15:18:22.620Z,"18km N of Borrego Springs, CA",earthquake,0.31,0.63,0.159,26,reviewed,ci,ci
